"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
167 12252424 K00153.02 4.75400115 2.951e-06 -2.951e-06 2.5037 0.018 -0.018 774.1 6.5 -6.5 0.024604 0.000515 -0.000393 2.56999 0.19214 -0.58374 1.9 0.08 -0.09 82.9 14.41 -13.42 4591.0 96.0 -89.0 4.579 0.031 -0.016 0.709 0.028 -0.034 0.696 0.04 -0.028
195 7831264 K00171.01 5.968717469 5.665e-06 -5.665e-06 3.6582 0.0296 -0.0296 527.9 5.1 -5.1 0.021715 0.001478 -0.000456 0.71607 0.37328 -0.03367 2.78 1.82 -0.32 465.23 944.17 -148.12 6484.0 166.0 -218.0 4.377 0.064 -0.366 1.173 0.768 -0.136 1.195 0.281 -0.176
256 4249725 K00222.01 6.312503728 5.38e-06 -5.38e-06 2.7476 0.0264 -0.0264 1371.3 13.6 -13.6 0.033163 0.000675 -0.000331 2.77559 0.18179 -0.52956 2.06 0.33 -0.32 26.01 31.11 -10.71 4096.0 538.0 -187.0 4.697 0.095 -0.095 0.57 0.09 -0.09 0.59 0.09 -0.09
277 7219825 K00238.01 17.23231686 3.565e-05 -3.565e-05 4.5318 0.0539 -0.0539 522.3 9.3 -9.3 0.021011 0.000489 -0.000327 1.56512 0.12106 -0.52047 2.51 0.42 -0.23 85.06 39.22 -20.29 6086.0 104.0 -124.0 4.367 0.077 -0.134 1.092 0.184 -0.099 1.012 0.063 -0.058
280 6383785 K00239.02 3.62269606 6.47e-05 -6.47e-05 1.79 0.519 -0.519 207.7 43.4 -43.4 0.0134 0.000675 -0.002712 4.74212 2.51389 -4.64718 1.45 0.58 -0.14 589.5 697.43 -170.23 6217.0 162.0 -212.0 4.472 0.048 -0.29 0.989 0.399 -0.095 1.056 0.183 -0.134
288 4349452 K00244.02 6.238534771 2.116e-06 -2.116e-06 3.54393 0.0089 -0.0089 402.8 1.5 -1.5 0.01844 0.000106 -4.5e-05 1.25216 0.01115 -0.10069 2.64 0.04 -0.05 479.56 42.51 -39.59 6270.0 79.0 -79.0 4.279 0.009 -0.009 1.309 0.023 -0.023 1.187 0.06 -0.06
305 10489206 K00251.01 4.164383815 1.742e-06 -1.742e-06 1.8428 0.0233 -0.0233 2529.1 20.2 -20.2 0.047659 0.000277 -0.001633 3.77039 2.65485 -0.06181 2.71 0.31 -0.32 29.9 9.86 -8.06 3810.0 64.0 -65.0 4.738 0.07 -0.07 0.52 0.06 -0.06 0.54 0.06 -0.06
312 7021681 K00255.02 13.603082 0.000185 -0.000185 2.521 0.338 -0.338 173.8 25.9 -25.9 0.012186 0.000931 -0.001122 5.22827 5.08495 -2.64212 0.68 0.08 -0.08 5.77 1.95 -1.64 3770.0 66.0 -78.0 4.747 0.071 -0.071 0.51 0.06 -0.06 0.53 0.06 -0.06
329 7375348 K00266.01 25.30889748 5.747e-05 -5.747e-05 5.6829 0.0578 -0.0578 155.4 2.9 -2.9 0.012212 9e-06 -0.000769 0.4372 0.65231 -0.01428 2.36 1.04 -0.81 130.61 174.01 -82.32 6283.0 181.0 -237.0 4.046 0.278 -0.241 1.768 0.783 -0.607 1.269 0.269 -0.262
337 8077137 K00274.01 15.08960174 4.426e-05 -4.426e-05 4.2108 0.065 -0.065 74.2 2.7 -2.7 0.007889 0.000289 -0.0002 1.74529 0.03233 -0.67834 1.43 0.03 -0.03 209.9 20.78 -19.22 6072.0 75.0 -75.0 4.07 0.011 -0.011 1.659 0.038 -0.038 1.184 0.074 -0.074
352 5695396 K00283.01 16.09197176 1.09e-05 -1.09e-05 2.879 0.0177 -0.0177 435.4 3.7 -3.7 0.018914 0.000314 -0.0001 6.01729 0.16107 -1.09949 1.98 0.34 -0.09 56.65 26.81 -9.56 5791.0 107.0 -133.0 4.505 0.022 -0.143 0.958 0.163 -0.043 1.071 0.049 -0.083
372 11547513 K00295.01 5.317435416 5.26e-06 -5.26e-06 2.8875 0.0257 -0.0257 284.2 3.6 -3.6 0.015421 0.000317 -0.000159 1.88413 0.11226 -0.50482 2.58 1.34 -0.7 687.55 1081.42 -375.01 6068.0 167.0 -231.0 4.167 0.202 -0.292 1.533 0.796 -0.416 1.263 0.235 -0.247
380 3642289 K00301.01 6.002535939 9.299e-06 -9.299e-06 3.9088 0.0369 -0.0369 200.8 3.1 -3.1 0.013043 0.000227 -0.000196 0.87006 0.01624 -0.28448 1.72 1.27 -0.22 462.88 1061.12 -160.39 6388.0 141.0 -225.0 4.349 0.076 -0.394 1.209 0.891 -0.159 1.187 0.297 -0.17
386 6029239 K00304.02 5.5181712 7.216e-05 -7.216e-05 2.32 0.284 -0.284 28.9 3.9 -3.9 0.005273 1.6e-05 -0.000759 1.35309 3.26091 -0.12994 1.05 0.42 -0.39 1034.34 1191.44 -666.76 6164.0 158.0 -179.0 3.985 0.326 -0.196 1.825 0.72 -0.671 1.173 0.299 -0.201
394 7050989 K00312.01 11.5789114 1.671e-05 -1.671e-05 2.7825 0.0365 -0.0365 242.3 4.3 -4.3 0.015157 5.6e-05 -0.000893 1.89287 2.48087 -0.16239 1.97 0.38 -0.19 163.29 82.4 -40.94 6156.0 78.0 -135.0 4.354 0.06 -0.137 1.188 0.233 -0.113 1.168 0.092 -0.109
409 8753657 K00321.01 2.426300839 2.349e-06 -2.349e-06 2.6339 0.0257 -0.0257 189.0 2.2 -2.2 0.012465 0.000267 -0.000169 1.11957 0.07395 -0.32855 1.32 0.24 -0.06 688.67 349.41 -115.02 5697.0 117.0 -118.0 4.487 0.029 -0.15 0.973 0.174 -0.047 1.058 0.064 -0.072
424 10290666 K00332.01 5.458498316 9.07e-06 -9.07e-06 4.0346 0.0395 -0.0395 262.9 3.9 -3.9 0.015827 0.000867 -0.001077 0.2821 0.3757 -0.02934 2.18 0.49 -0.33 379.14 230.36 -128.32 5716.0 96.0 -132.0 4.29 0.113 -0.157 1.259 0.285 -0.186 1.126 0.101 -0.107
438 10878263 K00341.02 4.699653236 7.953e-06 -7.953e-06 2.4011 0.0489 -0.0489 462.1 11.0 -11.0 0.021196 0.002068 -0.001594 1.07514 1.65986 -0.75139 2.19 0.4 -0.18 266.3 133.46 -57.75 5523.0 103.0 NaN 4.437 0.078 -0.134 0.946 0.171 -0.078 0.892 0.063 -0.042
461 11568987 K00354.02 7.37862283 3.888e-05 -3.888e-05 3.207 0.134 -0.134 117.8 6.1 -6.1 0.010098 0.000332 -0.000402 1.42559 0.82035 -0.24381 1.06 0.17 -0.05 178.68 75.31 -30.15 5936.0 102.0 -131.0 4.501 0.022 -0.127 0.965 0.147 -0.045 1.075 0.041 -0.081
478 8494142 K00370.02 22.95068896 9.568e-05 -9.568e-05 4.439 0.106 -0.106 138.6 4.3 -4.3 0.01088 0.00021 -0.000365 1.94354 0.43988 -0.53407 2.2 0.06 -0.06 145.5 18.84 -17.02 6144.0 106.0 -106.0 4.022 0.012 -0.012 1.85 0.05 -0.05 1.319 0.101 -0.101
534 5791986 K00413.01 15.22895698 2.008e-05 -2.008e-05 2.5574 0.0446 -0.0446 1186.2 20.1 -20.1 0.03334 6.3e-05 -0.002136 3.74862 4.46044 -0.22528 2.98 1.16 -0.24 40.31 48.02 -9.67 5460.0 172.0 -143.0 4.553 0.033 -0.251 0.818 0.32 -0.066 0.874 0.093 -0.082
558 10717241 K00430.02 9.3405269 8.417e-05 -8.417e-05 2.593 0.216 -0.216 220.0 20.0 -20.0 0.013578 0.000982 -0.000544 3.7621 2.09394 -1.47509 0.71 0.09 -0.09 8.9 3.57 -2.49 3797.0 98.0 -58.0 4.783 0.075 -0.075 0.48 0.06 -0.06 0.51 0.06 -0.06
600 7440748 K00457.01 4.921354681 3.799e-06 -3.799e-06 1.8648 0.0205 -0.0205 800.1 10.2 -10.2 0.025593 0.000245 -0.000664 5.98091 0.96774 -1.08293 2.07 0.33 -0.16 116.67 61.78 -26.31 5079.0 160.0 -130.0 4.609 0.027 -0.101 0.739 0.12 -0.054 0.817 0.078 -0.089
674 6266741 K00508.01 7.930587745 9.744e-06 -9.744e-06 3.6171 0.0412 -0.0412 831.9 10.8 -10.8 0.027185 0.002532 -0.001022 0.89667 0.53003 -0.611 2.94 0.42 -0.15 140.16 57.71 -24.44 5655.0 107.0 -126.0 4.481 0.03 -0.125 0.99 0.143 -0.049 1.081 0.048 -0.08
702 8806123 K00523.02 36.8568008 0.0001623 -0.0001623 8.674 0.267 -0.267 803.5 20.4 -20.4 0.031101 0.00043 -0.004355 0.05233 0.56174 -0.01652 3.62 1.89 -0.37 30.83 48.08 -9.08 6220.0 156.0 -207.0 4.414 0.061 -0.319 1.066 0.557 -0.108 1.07 0.245 -0.119
