"rowid" "kepid" "kepoi.Name" "koi.period" "koi.period.err1" "koi.period.err2" "koi.duration" "koi.duration.err1" "koi.duration.err2" "koi.depth" "koi.depth.err1" "koi.depth.err2" "koi.ror" "koi.ror.err1" "koi.ror.err2" "koi.srho" "koi.srho.err1" "koi.srho.err2" "koi.prad" "koi.prad.err1" "koi.prad.err2" "koi.insol" "koi.insol.err1" "koi.insol.err2" "koi.steff" "koi.steff.err1" "koi.steff.err2" "koi.slogg" "koi.slogg.err1" "koi.slogg.err2" "koi.srad" "koi.srad.err1" "koi.srad.err2" "koi.smass" "koi.smass.err1" "koi.smass.err2"
196 7831264 K00171.02 13.071489 4.489e-05 -4.489e-05 3.0522 0.0786 -0.0786 244.6 8.2 -8.2 0.014426 0.000496 -0.000233 4.04639 0.22373 -1.59713 1.85 1.21 -0.22 163.73 332.28 -52.13 6484.0 166.0 -218.0 4.377 0.064 -0.366 1.173 0.768 -0.136 1.195 0.281 -0.176
257 4249725 K00222.02 12.79455062 2.701e-05 -2.701e-05 3.4051 0.0516 -0.0516 870.0 17.1 -17.1 0.026391 0.000792 -0.000468 2.90469 0.14669 -0.88189 1.64 0.26 -0.26 10.15 12.14 -4.18 4096.0 538.0 -187.0 4.697 0.095 -0.095 0.57 0.09 -0.09 0.59 0.09 -0.09
278 7219825 K00238.02 26.6951659 0.0002627 -0.0002627 4.505 0.22 -0.22 141.3 11.6 -11.6 0.010946 0.000561 -0.000537 2.32377 0.61329 -0.6935 1.31 0.22 -0.12 47.48 21.9 -11.32 6086.0 104.0 -124.0 4.367 0.077 -0.134 1.092 0.184 -0.099 1.012 0.063 -0.058
279 6383785 K00239.01 5.640677572 3.781e-06 -3.781e-06 2.9016 0.0359 -0.0359 1529.0 12.4 -12.4 0.038083 0.000281 -0.001914 0.93488 1.15279 -0.03205 4.11 1.66 -0.39 327.41 387.35 -94.55 6217.0 162.0 -212.0 4.472 0.048 -0.29 0.989 0.399 -0.095 1.056 0.183 -0.134
287 4349452 K00244.01 12.720374354 2.117e-06 -2.117e-06 2.59373 0.00729 -0.00729 1176.3 2.7 -2.7 0.031556 0.000266 -9.8e-05 6.64458 0.05919 -1.36683 4.51 0.08 -0.08 185.61 16.45 -15.33 6270.0 79.0 -79.0 4.279 0.009 -0.009 1.309 0.023 -0.023 1.187 0.06 -0.06
306 10489206 K00251.02 5.77442209 2.923e-05 -2.923e-05 1.819 0.119 -0.119 265.3 21.3 -21.3 0.01496 0.000943 -0.000513 7.41893 2.16422 -3.03027 0.85 0.1 -0.1 19.38 6.39 -5.23 3810.0 64.0 -65.0 4.738 0.07 -0.07 0.52 0.06 -0.06 0.54 0.06 -0.06
311 7021681 K00255.01 27.52197994 3.295e-05 -3.295e-05 4.0704 0.0389 -0.0389 2500.8 28.6 -28.6 0.045014 0.000692 -0.000436 3.84555 0.10821 -0.84279 2.51 0.29 -0.3 2.26 0.76 -0.65 3770.0 66.0 -78.0 4.747 0.071 -0.071 0.51 0.06 -0.06 0.53 0.06 -0.06
330 7375348 K00266.02 47.7436033 0.0002785 -0.0002785 2.458 0.14 -0.14 102.7 6.4 -6.4 0.009407 0.0002 -0.000567 23.68615 5.72907 -8.67021 1.82 0.8 -0.63 56.05 74.67 -35.33 6283.0 181.0 -237.0 4.046 0.278 -0.241 1.768 0.783 -0.607 1.269 0.269 -0.262
338 8077137 K00274.02 22.8029808 0.0001078 -0.0001078 4.9916 0.0986 -0.0986 66.4 3.0 -3.0 0.007846 0.001421 -0.000408 0.72433 0.74243 -0.55371 1.42 0.03 -0.03 120.93 11.97 -11.08 6072.0 75.0 -75.0 4.07 0.011 -0.011 1.659 0.038 -0.038 1.184 0.074 -0.074
353 5695396 K00283.02 25.5170646 0.0001964 -0.0001964 5.141 0.174 -0.174 63.1 3.3 -3.3 0.007384 0.000229 -0.000318 1.12942 0.67857 -0.16441 0.77 0.13 -0.03 30.65 14.51 -5.17 5791.0 107.0 -133.0 4.505 0.022 -0.143 0.958 0.163 -0.043 1.071 0.049 -0.083
