"KOI" "P.int" "P.ext" "j" "Delta" "f" "g" "Re.V.int" "sig.Re.V.int" "Im.V.int" "sig.Im.V.int" "Re.V.ext" "sig.Re.V.ext" "Im.V.ext" "si.Im.V.ext" 
222 6.312504 12.794594 2 0.01343255 -1.1604484 0.41268392 0.001472 0.000422 0.000483 0.000415 -0.001392 0.001294 -0.003438 0.001134
238 17.23229 26.69376 3 0.03270314 -1.8219135 2.29105147 -0.00117 0.001265 -0.001555 0.001149 -0.006047 0.005246 -0.002784 0.004987
239 3.622714 5.640662 3 0.03801772 -1.78890995 2.25969544 0.00033 0.000381 -0.000128 0.000442 NaN 2.0 NaN 2.0
244 6.238559 12.720365 2 0.0194954 -1.14711012 0.40559038 0.001997 0.000225 0.00178 0.000202 0.000966 0.00011 0.000642 0.000084
251 4.164388 5.77447 4 0.03997347 -2.35232372 2.80731576 0.000126 0.000239 0.000234 0.000255 0 0.002243 0.003847 0.002304
255 13.603303 27.521732 2 0.01158269 -1.16451807 0.41484825 0.000872 0.006073 0.004199 0.00494 0.001439 0.000876 -0.001108 0.000715
266 25.308897 47.743481 2 -0.05678463 -1.31492618 0.49483801 0.003135 0.001351 0.00205 0.001417 NaN 2.0 NaN 2.0
274 15.09205 22.79519 3 0.0069403 -1.98190075 2.44305224 0.035334 0.004327 -0.024199 0.003559 0.031026 0.005247 -0.02084 0.005425
283 16.091941 25.51704 3 0.05713537 -1.67018935 2.14690132 -0.000323 0.000358 0.000266 0.000366 -0.000496 0.004182 0.000714 0.003551
295 5.317435 10.105745 2 -0.04975378 -1.29945832 0.48661192 -0.000991 0.000615 -0.000014 0.000578 -0.001085 0.001914 0.00117 0.00186
301 6.002551 11.44883 2 -0.0463363 -1.29193986 0.48261347 0.000958 0.000961 -0.00096 0.000956 0.001593 0.003092 0.003337 0.003382
304 5.51835 8.51205 3 0.02833274 -1.84905366 2.31683681 -0.001769 0.005168 0.002941 0.005452 -0.000081 0.000352 0.000422 0.000351
312 11.57894 16.39922 3 -0.05580188 -2.3715297 2.81323112 0.001847 0.001224 -0.000598 0.001151 0.001078 0.001085 -0.002387 0.001102
321 2.426308 4.62339 2 -0.0472375 -1.29392249 0.48366787 -0.000698 0.000571 -0.00035 0.000518 -0.002198 0.002083 -0.005163 0.001762
332 5.45851 6.866783 5 0.00639673 -3.52110592 3.95696097 0.003093 0.000907 -0.000846 0.001024 0.00219 0.005956 -0.009154 0.005725
341 4.69964 7.170732 3 0.01720302 -1.91816925 2.38250218 0.000702 0.001832 -0.000267 0.00158 -0.000856 0.000952 -0.00122 0.000746
354 7.378776 15.959946 2 0.08147652 -1.01075165 0.33307247 -0.004443 0.002677 -0.004869 0.002264 -0.000323 0.000933 -0.000007 0.000803
370 22.95036 42.88255 2 -0.06575431 -1.33465947 0.50533254 0.000736 0.002496 -0.006784 0.002883 0.002131 0.001185 -0.003403 0.001467
413 15.228997 24.67424 3 0.08014292 -1.52731245 2.01115675 -0.001578 0.000831 0.000479 0.000721 0.001554 0.001942 0.002559 0.001929
430 9.34037 12.376487 4 -0.00621011 -2.91576337 3.35690034 -0.002458 0.003975 0.005303 0.003726 0.000403 0.000695 0.001001 0.000622
457 4.921357 7.064271 3 -0.04304565 -2.29231347 2.73796932 0.000521 0.000456 -0.000665 0.000471 0.000515 0.000577 -0.001503 0.00073
508 7.930563 16.66584 2 0.05073499 -1.07838303 0.36904007 -0.001467 0.000734 0.000779 0.000716 -0.002875 0.001154 0.001812 0.001271
